unique_global_key,count
aaai,75
aaai,74
acl,53
adbis,32
alt,17
cade,40
chi,39
cikm,79
colt,16
compgeom,17
concur,17
coopis,6
crypto,22
csmr,15
cvpr,28
dasfaa,30
dbpl,8
dolap,16
edbt,28
er,35
esa,18
eurocrypt,19
fase,17
focs,16
fse,17
fsttcs,16
gpce,19
icalp,27
iccv,9
icde,28
icdt,13
icml,22
icse,220
icsm,22
ijcai,34
infocom,22
ipco,11
isaac,17
issac,19
iwpc,17
kbse,22
kdd,65
latin,9
lfcs,4
lics,18
mfcs,19
mobicom,68
msr,12
nsdi,20
osdi,22
pldi,43
podc,20
pods,17
popl,27
recomb,24
ride,6
scam,15
sigcomm,40
sigir,30
sigmetrics,17
sigmod,52
soda,17
sosp,16
sp,22
spaa,14
ssdbm,17
stacs,17
stoc,17
swat,9
uist,24
vldb,27
wads,8
wcre,19
wdag,17
widm,10
www,50
